nohup: ignoring input
[ Info: Progress 57.9% | step 4744/8192 | elapsed 00:11:01 | remaining ≈ 00:08:01
[ Info: Progress 58.4% | step 4783/8192 | elapsed 00:11:07 | remaining ≈ 00:07:55
[ Info: Progress 58.9% | step 4822/8192 | elapsed 00:11:12 | remaining ≈ 00:07:50
[ Info: Progress 59.3% | step 4861/8192 | elapsed 00:11:18 | remaining ≈ 00:07:44
[ Info: Progress 59.8% | step 4901/8192 | elapsed 00:11:23 | remaining ≈ 00:07:39
[ Info: Progress 60.3% | step 4940/8192 | elapsed 00:11:28 | remaining ≈ 00:07:33
[ Info: Progress 60.8% | step 4979/8192 | elapsed 00:11:33 | remaining ≈ 00:07:27
[ Info: Progress 61.3% | step 5019/8192 | elapsed 00:11:39 | remaining ≈ 00:07:22
[ Info: Progress 61.7% | step 5058/8192 | elapsed 00:11:44 | remaining ≈ 00:07:16
[ Info: Progress 62.2% | step 5098/8192 | elapsed 00:11:49 | remaining ≈ 00:07:11
[ Info: Progress 62.7% | step 5138/8192 | elapsed 00:11:55 | remaining ≈ 00:07:05
[ Info: Progress 63.2% | step 5177/8192 | elapsed 00:12:00 | remaining ≈ 00:06:59
[ Info: Progress 63.7% | step 5216/8192 | elapsed 00:12:05 | remaining ≈ 00:06:54
[ Info: Progress 64.1% | step 5255/8192 | elapsed 00:12:10 | remaining ≈ 00:06:48
[ Info: Progress 64.6% | step 5295/8192 | elapsed 00:12:16 | remaining ≈ 00:06:43
[ Info: Progress 65.1% | step 5334/8192 | elapsed 00:12:21 | remaining ≈ 00:06:37
[ Info: Progress 65.6% | step 5372/8192 | elapsed 00:12:26 | remaining ≈ 00:06:32
[ Info: Progress 66.0% | step 5410/8192 | elapsed 00:12:31 | remaining ≈ 00:06:26
[ Info: Progress 66.5% | step 5447/8192 | elapsed 00:12:36 | remaining ≈ 00:06:21
[ Info: Progress 66.9% | step 5484/8192 | elapsed 00:12:41 | remaining ≈ 00:06:16
[ Info: Progress 67.4% | step 5521/8192 | elapsed 00:12:46 | remaining ≈ 00:06:11
[ Info: Progress 67.8% | step 5558/8192 | elapsed 00:12:51 | remaining ≈ 00:06:05
[ Info: Progress 68.3% | step 5596/8192 | elapsed 00:12:56 | remaining ≈ 00:06:00
[ Info: Progress 68.8% | step 5635/8192 | elapsed 00:13:02 | remaining ≈ 00:05:55
[ Info: Progress 69.3% | step 5674/8192 | elapsed 00:13:07 | remaining ≈ 00:05:49
[ Info: Progress 69.7% | step 5713/8192 | elapsed 00:13:12 | remaining ≈ 00:05:44
[ Info: Progress 70.2% | step 5752/8192 | elapsed 00:13:18 | remaining ≈ 00:05:38
[ Info: Progress 70.7% | step 5791/8192 | elapsed 00:13:23 | remaining ≈ 00:05:33
[ Info: Progress 71.2% | step 5831/8192 | elapsed 00:13:28 | remaining ≈ 00:05:27
[ Info: Progress 71.7% | step 5870/8192 | elapsed 00:13:34 | remaining ≈ 00:05:22
[ Info: Progress 72.1% | step 5910/8192 | elapsed 00:13:39 | remaining ≈ 00:05:16
[ Info: Progress 72.6% | step 5949/8192 | elapsed 00:13:44 | remaining ≈ 00:05:11
[ Info: Progress 73.1% | step 5988/8192 | elapsed 00:13:50 | remaining ≈ 00:05:05
[ Info: Progress 73.6% | step 6027/8192 | elapsed 00:13:55 | remaining ≈ 00:05:00
[ Info: Progress 74.0% | step 6066/8192 | elapsed 00:14:00 | remaining ≈ 00:04:54
[ Info: Progress 74.5% | step 6105/8192 | elapsed 00:14:05 | remaining ≈ 00:04:49
[ Info: Progress 75.0% | step 6144/8192 | elapsed 00:14:10 | remaining ≈ 00:04:43
[ Info: Progress 75.5% | step 6183/8192 | elapsed 00:14:16 | remaining ≈ 00:04:38
[ Info: Progress 76.0% | step 6223/8192 | elapsed 00:14:21 | remaining ≈ 00:04:33
[ Info: Progress 76.4% | step 6262/8192 | elapsed 00:14:27 | remaining ≈ 00:04:27
[ Info: Progress 76.9% | step 6302/8192 | elapsed 00:14:32 | remaining ≈ 00:04:21
[ Info: Progress 77.4% | step 6341/8192 | elapsed 00:14:37 | remaining ≈ 00:04:16
[ Info: Progress 77.9% | step 6380/8192 | elapsed 00:14:42 | remaining ≈ 00:04:11
[ Info: Progress 78.4% | step 6419/8192 | elapsed 00:14:48 | remaining ≈ 00:04:05
[ Info: Progress 78.8% | step 6458/8192 | elapsed 00:14:53 | remaining ≈ 00:04:00
[ Info: Progress 79.3% | step 6498/8192 | elapsed 00:14:58 | remaining ≈ 00:03:54
[ Info: Progress 79.8% | step 6537/8192 | elapsed 00:15:03 | remaining ≈ 00:03:49
[ Info: Progress 80.3% | step 6576/8192 | elapsed 00:15:09 | remaining ≈ 00:03:43
[ Info: Progress 80.8% | step 6616/8192 | elapsed 00:15:14 | remaining ≈ 00:03:38
[ Info: Progress 81.2% | step 6655/8192 | elapsed 00:15:19 | remaining ≈ 00:03:32
[ Info: Progress 81.7% | step 6694/8192 | elapsed 00:15:25 | remaining ≈ 00:03:27
[ Info: Progress 82.2% | step 6733/8192 | elapsed 00:15:30 | remaining ≈ 00:03:21
[ Info: Progress 82.7% | step 6772/8192 | elapsed 00:15:35 | remaining ≈ 00:03:16
[ Info: Progress 83.1% | step 6811/8192 | elapsed 00:15:40 | remaining ≈ 00:03:11
[ Info: Progress 83.6% | step 6851/8192 | elapsed 00:15:46 | remaining ≈ 00:03:05
[ Info: Progress 84.1% | step 6890/8192 | elapsed 00:15:51 | remaining ≈ 00:03:00
[ Info: Progress 84.6% | step 6930/8192 | elapsed 00:15:56 | remaining ≈ 00:02:54
[ Info: Progress 85.1% | step 6969/8192 | elapsed 00:16:02 | remaining ≈ 00:02:49
[ Info: Progress 85.5% | step 7008/8192 | elapsed 00:16:07 | remaining ≈ 00:02:43
[ Info: Progress 86.0% | step 7047/8192 | elapsed 00:16:12 | remaining ≈ 00:02:38
[ Info: Progress 86.5% | step 7086/8192 | elapsed 00:16:17 | remaining ≈ 00:02:33
[ Info: Progress 87.0% | step 7126/8192 | elapsed 00:16:23 | remaining ≈ 00:02:27
[ Info: Progress 87.5% | step 7165/8192 | elapsed 00:16:28 | remaining ≈ 00:02:22
[ Info: Progress 87.9% | step 7204/8192 | elapsed 00:16:33 | remaining ≈ 00:02:16
[ Info: Progress 88.4% | step 7243/8192 | elapsed 00:16:38 | remaining ≈ 00:02:11
[ Info: Progress 88.9% | step 7279/8192 | elapsed 00:16:43 | remaining ≈ 00:02:06
[ Info: Progress 89.3% | step 7315/8192 | elapsed 00:16:49 | remaining ≈ 00:02:01
[ Info: Progress 89.7% | step 7351/8192 | elapsed 00:16:54 | remaining ≈ 00:01:56
[ Info: Progress 90.2% | step 7388/8192 | elapsed 00:16:59 | remaining ≈ 00:01:51
[ Info: Progress 90.7% | step 7428/8192 | elapsed 00:17:04 | remaining ≈ 00:01:45
[ Info: Progress 91.1% | step 7467/8192 | elapsed 00:17:10 | remaining ≈ 00:01:40
[ Info: Progress 91.6% | step 7506/8192 | elapsed 00:17:15 | remaining ≈ 00:01:35
[ Info: Progress 92.1% | step 7545/8192 | elapsed 00:17:20 | remaining ≈ 00:01:29
[ Info: Progress 92.6% | step 7584/8192 | elapsed 00:17:26 | remaining ≈ 00:01:24
[ Info: Progress 93.0% | step 7622/8192 | elapsed 00:17:31 | remaining ≈ 00:01:19
[ Info: Progress 93.5% | step 7659/8192 | elapsed 00:17:36 | remaining ≈ 00:01:13
[ Info: Progress 93.9% | step 7694/8192 | elapsed 00:17:41 | remaining ≈ 00:01:09
[ Info: Progress 94.4% | step 7730/8192 | elapsed 00:17:46 | remaining ≈ 00:01:04
[ Info: Progress 94.8% | step 7766/8192 | elapsed 00:17:51 | remaining ≈ 00:00:59
[ Info: Progress 95.3% | step 7804/8192 | elapsed 00:17:56 | remaining ≈ 00:00:54
[ Info: Progress 95.7% | step 7840/8192 | elapsed 00:18:01 | remaining ≈ 00:00:49
[ Info: Progress 96.1% | step 7874/8192 | elapsed 00:18:06 | remaining ≈ 00:00:44
[ Info: Progress 96.6% | step 7910/8192 | elapsed 00:18:11 | remaining ≈ 00:00:39
[ Info: Progress 97.0% | step 7948/8192 | elapsed 00:18:17 | remaining ≈ 00:00:34
[ Info: Progress 97.5% | step 7986/8192 | elapsed 00:18:22 | remaining ≈ 00:00:28
[ Info: Progress 97.9% | step 8021/8192 | elapsed 00:18:27 | remaining ≈ 00:00:24
[ Info: Progress 98.4% | step 8057/8192 | elapsed 00:18:32 | remaining ≈ 00:00:19
[ Info: Progress 98.8% | step 8092/8192 | elapsed 00:18:37 | remaining ≈ 00:00:14
[ Info: Progress 99.2% | step 8129/8192 | elapsed 00:18:42 | remaining ≈ 00:00:09
[ Info: Progress 99.7% | step 8168/8192 | elapsed 00:18:47 | remaining ≈ 00:00:03
[ Info: Progress 0.3% | step 24/8192 | elapsed 00:00:05 | remaining ≈ 00:28:29
[ Info: Progress 0.6% | step 53/8192 | elapsed 00:00:11 | remaining ≈ 00:26:58
